Sample	berger_parker	buzas_gibson	chao1	dominance	equitability	jost	jost1	reads	richness	richness2	robbins	simpson	shannon_e	shannon_2	shannon_10	flyvbjerg	mirror	mirrorns	logfit	logfitns	logfitmu	logfitmuns
X101.10T1	0.0931	0.00921	517	0.973	0.744	53.1	92.1	10000	438	339	0.226	0.0268	4.52	6.52	1.96	483.3	777	586	471	471	-0.8	-0.8
X101.11T1	0.126	0.0063	439.8	0.959	0.694	34.4	63	10000	393	315	0.198	0.041	4.14	5.98	1.8	450.6	531	531	404	424	0.9	0.1
X101.12T1	0.194	0.00311	404.8	0.91	0.594	15.5	31.1	10000	326	239	0.266	0.0899	3.44	4.96	1.49	339.8	565	405	336	336	-0.9	-0.9
X101.13T1	0.259	0.00317	443.3	0.899	0.591	14.5	31.7	10000	346	260	0.248	0.101	3.46	4.99	1.5	298.9	606	448	386	386	-0.4	-0.4
X101.14T1	0.186	0.00364	415.8	0.926	0.615	18.8	36.4	10000	345	260	0.246	0.0741	3.59	5.18	1.56	319.8	428	428	385	385	0	0
X101.15T1	0.0883	0.00658	430.1	0.967	0.706	40.4	65.8	10000	377	292	0.225	0.0326	4.19	6.04	1.82	502	489	489	396	396	0	0
X101.1T1	0.218	0.00416	432.1	0.923	0.638	19.7	41.6	10000	346	263	0.239	0.077	3.73	5.38	1.62	312.2	609	455	374	374	-1	-1
X101.2T1	0.0946	0.00607	415.6	0.964	0.701	37.3	60.7	10000	349	265	0.24	0.0355	4.11	5.92	1.78	379.7	614	450	315	381	-1	-1
X101.3T1	0.144	0.00618	474	0.955	0.691	32.7	61.8	10000	391	299	0.235	0.0447	4.12	5.95	1.79	378.6	337	337	384	276	1	1.2
X101.4T1	0.13	0.00557	407.7	0.954	0.685	30.4	55.7	10000	355	281	0.208	0.0459	4.02	5.8	1.75	375.8	480	480	403	403	0	0
X101.5T1	0.2	0.00365	388.8	0.926	0.619	19	36.5	10000	335	254	0.241	0.0742	3.6	5.19	1.56	361.8	411	411	272	329	0.4	0
X101.6T1	0.0705	0.00883	468.9	0.973	0.744	51.5	88.3	10000	414	337	0.186	0.0268	4.48	6.46	1.95	418	584	584	464	464	0.2	0.2
X101.7T1	0.174	0.00518	483.4	0.94	0.66	24.7	51.8	10000	397	305	0.231	0.0601	3.95	5.69	1.71	367.4	702	524	416	416	-1	-1
X101.8T1	0.13	0.00557	408.8	0.951	0.686	29.6	55.7	10000	351	275	0.216	0.049	4.02	5.8	1.75	361.4	470	470	367	394	0.4	0
X101.9T1	0.0834	0.0086	459.3	0.971	0.739	48.5	86	10000	414	346	0.164	0.0291	4.45	6.43	1.93	396.2	594	594	409	481	1.1	0
X101C.10T1	0.118	0.00648	474.5	0.96	0.697	35.6	64.8	10000	398	303	0.238	0.0399	4.17	6.02	1.81	410.7	701	513	429	429	-1	-1
X101C.11T1	0.128	0.00509	398.4	0.95	0.675	27.6	50.9	10000	338	273	0.192	0.0505	3.93	5.67	1.71	296.5	467	467	369	389	0.5	0
X101C.12T1	0.0708	0.00858	458.9	0.975	0.746	53.6	85.8	10000	391	303	0.224	0.0249	4.45	6.42	1.93	420.9	694	519	398	398	-1	-1
X101C.13T1	0.186	0.00349	415	0.921	0.616	18.1	34.9	10000	321	229	0.286	0.0787	3.55	5.13	1.54	299.6	550	384	345	345	-1	-1
X101C.14T1	0.109	0.00685	407.5	0.966	0.714	39.9	68.5	10000	373	312	0.163	0.0341	4.23	6.1	1.84	374.3	526	526	409	439	1.1	0.3
X101C.15T1	0.133	0.0073	439.6	0.964	0.722	40.9	73	10000	380	302	0.205	0.0355	4.29	6.19	1.86	433.1	365	365	462	270	1	1.2
X101C.1T1	0.0921	0.00655	435.2	0.963	0.703	37	65.5	10000	383	310	0.19	0.0369	4.18	6.03	1.82	369.8	528	528	376	453	0.9	0
X101C.2T1	0.149	0.00548	424.1	0.952	0.686	29.9	54.8	10000	342	262	0.233	0.0477	4	5.78	1.74	335.3	604	463	362	362	-1	-1
X101C.3T1	0.0615	0.0102	450.9	0.979	0.772	64.3	102.1	10000	402	330	0.179	0.0209	4.63	6.67	2.01	404.8	570	570	464	464	0.2	0.2
X101C.4T1	0.11	0.00524	424.6	0.957	0.684	31.1	52.4	10000	327	242	0.259	0.0428	3.96	5.71	1.72	283.2	569	416	330	330	-0.9	-0.9
X101C.5T1	0.216	0.00387	346.8	0.932	0.646	21.3	38.7	10000	287	217	0.243	0.0683	3.66	5.27	1.59	276.6	504	365	317	317	-1	-1
X101C.6T1	0.147	0.00442	398.2	0.943	0.647	23.9	44.2	10000	348	273	0.215	0.0571	3.79	5.47	1.65	391.5	461	461	373	373	0.2	0.2
X101C.7T1	0.093	0.00549	364.7	0.963	0.697	34.8	54.9	10000	313	252	0.194	0.0366	4.01	5.78	1.74	281.9	430	430	298	326	0.8	0.2
X101C.8T1	0.0805	0.00962	428.5	0.977	0.763	58.2	96.2	10000	399	340	0.147	0.0235	4.57	6.59	1.98	488.6	594	594	443	452	1.1	0.3
X101C.9T1	0.118	0.00502	367.4	0.955	0.682	29.4	50.2	10000	311	243	0.218	0.0452	3.92	5.65	1.7	289.2	411	411	370	370	0	0
C101.10T1	0.237	0.00282	392.3	0.895	0.574	13.4	28.2	10000	337	259	0.231	0.105	3.34	4.82	1.45	320.3	417	417	282	343	0.4	0
C101.11T1	0.0701	0.00749	431	0.97	0.723	45.1	74.9	10000	392	323	0.176	0.0296	4.32	6.23	1.87	413.5	544	544	424	427	1.1	0
C101.12T1	0.116	0.00758	473.1	0.968	0.717	43.5	75.8	10000	417	337	0.191	0.0321	4.33	6.24	1.88	416.9	380	380	413	413	1	1
C101.13T1	0.0862	0.0074	436.2	0.97	0.725	44.7	74	10000	378	298	0.211	0.0302	4.3	6.21	1.87	397.1	509	509	405	428	0.5	0
C101.14T1	0.0712	0.00796	514	0.972	0.727	48.1	79.6	10000	412	312	0.242	0.0277	4.38	6.31	1.9	355.6	724	526	450	452	-1	-1
C101.15T1	0.171	0.00452	398.1	0.942	0.652	24.3	45.2	10000	346	271	0.216	0.0584	3.81	5.5	1.66	339.2	447	447	376	396	0.7	0
C101.1T1	0.116	0.00696	464.4	0.969	0.72	43.6	69.6	10000	362	266	0.264	0.0311	4.24	6.12	1.84	333.5	628	457	360	360	-1	-1
C101.2T1	0.272	0.0025	401.8	0.872	0.557	11.3	25	10000	323	236	0.269	0.128	3.22	4.65	1.4	305.1	559	391	326	326	-1	-1
C101.3T1	0.0994	0.00587	432	0.961	0.689	34.3	58.7	10000	368	288	0.217	0.0392	4.07	5.88	1.77	343.4	484	484	363	385	0.7	0
C101.4T1	0.102	0.00674	449.6	0.966	0.712	40.3	67.4	10000	370	279	0.245	0.0343	4.21	6.07	1.83	345.8	649	467	409	409	-1	-1
C101.5T1	0.133	0.00603	459.4	0.957	0.689	33	60.3	10000	383	293	0.234	0.0431	4.1	5.91	1.78	373.5	676	498	406	406	-1	-1
C101.6T1	0.112	0.00615	416.2	0.961	0.695	35.5	61.5	10000	375	298	0.205	0.0386	4.12	5.94	1.79	471.4	490	490	425	442	0.8	0
C101.7T1	0.0852	0.00684	471.2	0.968	0.711	40.8	68.4	10000	381	295	0.225	0.0324	4.22	6.1	1.83	336.5	343	343	373	272	1	1.3
C101.8T1	0.119	0.00765	471.6	0.966	0.721	42.7	76.5	10000	410	324	0.209	0.0337	4.34	6.26	1.88	423.9	551	551	424	424	0.2	0.2
C101.9T1	0.119	0.00471	442.2	0.948	0.655	26	47.1	10000	359	266	0.258	0.0521	3.85	5.56	1.67	346	625	446	349	359	-1	-0.9
C.10T1	0.252	0.00395	403.9	0.916	0.627	18.4	39.5	10000	351	274	0.219	0.0844	3.68	5.3	1.6	345.9	450	450	366	410	0.4	0
C.11T1	0.11	0.0049	421.2	0.952	0.661	27.7	49	10000	361	276	0.235	0.0483	3.89	5.61	1.69	383.8	457	457	396	396	0	0
C.12T1	0.0977	0.0049	410.2	0.955	0.663	28.7	49	10000	354	279	0.211	0.0451	3.89	5.61	1.69	342.1	470	470	349	366	0.7	0
C.13T1	0.184	0.00359	368	0.931	0.633	20	35.9	10000	286	205	0.282	0.069	3.58	5.17	1.56	308.2	491	352	303	303	-1	-1
C.14T1	0.0939	0.00443	375	0.952	0.661	26.9	44.3	10000	310	237	0.235	0.0476	3.79	5.47	1.65	289.1	547	402	328	330	-1	-1
C.15T1	0.0708	0.0066	429.1	0.969	0.713	41.5	66	10000	356	274	0.23	0.0307	4.19	6.05	1.82	334.2	630	468	370	370	-1	-1
C.1T1	0.345	0.00303	419.6	0.868	0.591	12.4	30.3	10000	321	230	0.283	0.132	3.41	4.92	1.48	303.4	551	393	342	342	-1	-1
C.2T1	0.139	0.00463	349.4	0.952	0.683	28	46.3	10000	274	209	0.236	0.0479	3.84	5.53	1.67	239.2	483	366	292	292	-1	-1
C.3T1	0.266	0.00324	340.8	0.908	0.614	16.4	32.4	10000	289	220	0.238	0.0919	3.48	5.02	1.51	285.2	362	362	271	265	0.1	0
C.4T1	0.136	0.00531	417.6	0.95	0.678	28.6	53.1	10000	350	272	0.222	0.0496	3.97	5.73	1.72	327.1	464	464	394	394	0	0
C.5T1	0.0878	0.00583	385.5	0.963	0.701	35.3	58.3	10000	330	257	0.221	0.0371	4.07	5.87	1.77	339.2	437	437	380	380	0	0
C.6T1	0.124	0.00603	417.4	0.958	0.702	33.7	60.3	10000	345	267	0.225	0.0418	4.1	5.91	1.78	349.3	612	469	355	355	-1	-1
C.7T1	0.249	0.00352	359.6	0.913	0.623	17.3	35.2	10000	302	230	0.238	0.087	3.56	5.14	1.55	304	387	387	314	314	0.1	0.1
C.8T1	0.109	0.00551	384.8	0.962	0.691	34.1	55.1	10000	330	256	0.224	0.0381	4.01	5.78	1.74	351	434	434	333	333	0.1	0.1
C.9T1	0.152	0.00404	357.7	0.944	0.657	23.7	40.4	10000	278	210	0.244	0.0563	3.7	5.34	1.61	232.8	488	359	306	308	-1	-1
