Sample	shannon	chao1	richness
X101.10T1	4.52	517	438
X101.11T1	4.14	439.8	393
X101.12T1	3.44	404.8	326
X101.13T1	3.46	443.3	346
X101.14T1	3.59	415.8	345
X101.15T1	4.19	430.1	377
X101.1T1	3.73	432.1	346
X101.2T1	4.11	415.6	349
X101.3T1	4.12	474	391
X101.4T1	4.02	407.7	355
X101.5T1	3.6	388.8	335
X101.6T1	4.48	468.9	414
X101.7T1	3.95	483.4	397
X101.8T1	4.02	408.8	351
X101.9T1	4.45	459.3	414
X101C.10T1	4.17	474.5	398
X101C.11T1	3.93	398.4	338
X101C.12T1	4.45	458.9	391
X101C.13T1	3.55	415	321
X101C.14T1	4.23	407.5	373
X101C.15T1	4.29	439.6	380
X101C.1T1	4.18	435.2	383
X101C.2T1	4	424.1	342
X101C.3T1	4.63	450.9	402
X101C.4T1	3.96	424.6	327
X101C.5T1	3.66	346.8	287
X101C.6T1	3.79	398.2	348
X101C.7T1	4.01	364.7	313
X101C.8T1	4.57	428.5	399
X101C.9T1	3.92	367.4	311
C101.10T1	3.34	392.3	337
C101.11T1	4.32	431	392
C101.12T1	4.33	473.1	417
C101.13T1	4.3	436.2	378
C101.14T1	4.38	514	412
C101.15T1	3.81	398.1	346
C101.1T1	4.24	464.4	362
C101.2T1	3.22	401.8	323
C101.3T1	4.07	432	368
C101.4T1	4.21	449.6	370
C101.5T1	4.1	459.4	383
C101.6T1	4.12	416.2	375
C101.7T1	4.22	471.2	381
C101.8T1	4.34	471.6	410
C101.9T1	3.85	442.2	359
C.10T1	3.68	403.9	351
C.11T1	3.89	421.2	361
C.12T1	3.89	410.2	354
C.13T1	3.58	368	286
C.14T1	3.79	375	310
C.15T1	4.19	429.1	356
C.1T1	3.41	419.6	321
C.2T1	3.84	349.4	274
C.3T1	3.48	340.8	289
C.4T1	3.97	417.6	350
C.5T1	4.07	385.5	330
C.6T1	4.1	417.4	345
C.7T1	3.56	359.6	302
C.8T1	4.01	384.8	330
C.9T1	3.7	357.7	278
