Sample	X101.10T1	X101.11T1	X101.12T1	X101.13T1	X101.14T1	X101.15T1	X101.1T1	X101.2T1	X101.3T1	X101.4T1	X101.5T1	X101.6T1	X101.7T1	X101.8T1	X101.9T1	X101C.10T1	X101C.11T1	X101C.12T1	X101C.13T1	X101C.14T1	X101C.15T1	X101C.1T1	X101C.2T1	X101C.3T1	X101C.4T1	X101C.5T1	X101C.6T1	X101C.7T1	X101C.8T1	X101C.9T1	C101.10T1	C101.11T1	C101.12T1	C101.13T1	C101.14T1	C101.15T1	C101.1T1	C101.2T1	C101.3T1	C101.4T1	C101.5T1	C101.6T1	C101.7T1	C101.8T1	C101.9T1	C.10T1	C.11T1	C.12T1	C.13T1	C.14T1	C.15T1	C.1T1	C.2T1	C.3T1	C.4T1	C.5T1	C.6T1	C.7T1	C.8T1	C.9T1
Zotu55	12	4	10	34	3	7	8	2	5	9	5	11	4	3	6	2	8	1	2	3	1	7	3	7	2	6	3	9	3	13	37	13	18	13	11	6	16	4	31	20	23	16	19	20	12	7	2	7	19	11	18	0	16	2	6	20	34	5	4	5
Zotu22	461	163	82	641	229	84	177	66	115	131	171	143	110	55	143	20	43	147	49	281	27	32	128	49	136	151	55	12	37	49	44	218	105	180	179	553	236	140	462	193	158	288	490	144	161	22	56	100	143	108	62	28	97	17	154	90	152	218	131	93
Zotu590	69	29	0	1	0	0	2	16	0	0	15	22	11	0	3	0	0	11	2	1	0	0	0	1	0	0	2	0	0	0	6	4	4	2	1	1	0	13	13	11	16	31	3	3	4	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Zotu36	92	290	377	13	15	114	43	145	71	14	57	85	31	122	72	277	279	12	79	418	27	53	8	224	120	27	43	233	109	17	59	262	78	218	78	91	222	393	93	589	203	217	32	134	110	105	22	8	0	96	612	11	1	29	16	6	27	18	13	13
Zotu37	70	45	2	4	5	2	1	178	15	25	45	25	0	1	59	18	47	274	98	63	185	308	77	254	158	2157	125	2	59	145	101	31	5	8	9	7	274	30	174	195	135	15	54	36	24	27	86	141	30	597	67	94	71	333	413	166	266	221	565	140
Zotu60	282	266	4	18	38	1	2	132	9	0	3	72	0	0	7	153	42	11	1	2	2	4	1	0	23	0	357	106	0	1	1	2	0	5	7	2	9	8	1	1	1	0	3	4	0	44	104	10	1	1	9	3453	71	8	1	2	95	0	629	3
Zotu5	931	669	1679	453	286	450	285	317	536	94	878	595	840	1228	715	615	3	591	1858	530	630	300	437	615	716	182	762	668	410	1183	920	693	1164	50	310	90	269	445	20	1020	517	839	720	716	1057	2524	1001	447	15	937	441	455	71	2660	301	374	143	444	170	100
Zotu34	234	161	106	161	74	202	134	137	72	795	94	216	83	207	235	113	410	222	289	146	150	485	471	27	165	157	125	930	226	287	142	205	140	538	326	283	156	112	51	209	123	158	852	141	142	90	67	280	446	151	313	36	161	235	264	523	233	178	176	549
Zotu16	130	31	1	1	1	0	2	0	16	2	0	705	7	0	52	120	33	7	20	2	1328	824	180	536	272	88	204	53	111	56	4	321	196	10	466	12	244	5	333	56	399	4	2	284	1191	0	359	977	4	0	44	1	2	153	1	3	3	2	23	14
Zotu21	132	96	132	132	180	115	146	50	74	104	50	85	67	150	134	79	147	213	78	236	163	172	78	197	259	147	102	100	227	138	41	136	232	165	95	158	157	72	152	177	94	153	148	222	153	110	114	137	69	82	107	79	96	79	191	105	137	148	125	136
Zotu271	36	27	20	23	28	87	210	41	95	20	36	30	14	4	59	8	5	1	2	1	3	2	1	1	0	1	1	0	2	1	11	70	37	74	58	54	22	17	10	3	33	95	15	64	40	1	1	0	0	0	0	0	0	2	0	1	1	1	0	1
Zotu504	6	4	26	3	5	13	0	1	5	1	0	7	5	13	0	0	0	1	0	0	11	0	0	8	1	0	1	0	0	0	0	4	10	0	7	5	14	7	2	0	1	2	3	3	2	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0
Zotu225	24	1	0	1	0	0	1	1	0	3	1	1	0	6	8	1	1	9	2	39	8	2	11	36	1	1	13	2	49	0	0	3	0	4	0	0	4	1	0	0	0	0	4	0	0	19	6	59	4	3	2	8	9	16	7	4	6	2	8	9
Zotu122	5	1	0	0	3	7	8	2	6	1	0	0	0	0	2	4	2	55	231	3	35	0	1	61	1	1	3	273	63	0	17	11	4	0	16	0	1	1	0	58	66	0	1	132	26	3	9	0	0	1	0	374	2	0	13	0	0	6	23	0
