OTU ID,X101.10T1,X101.11T1,X101.12T1,X101.13T1,X101.14T1,X101.15T1,X101.1T1,X101.2T1,X101.3T1,X101.4T1,X101.5T1,X101.6T1,X101.7T1,X101.8T1,X101.9T1,C.10T1,C.11T1,C.12T1,C.13T1,C.14T1,C.15T1,C.1T1,C.2T1,C.3T1,C.4T1,C.5T1,C.6T1,C.7T1,C.8T1,C.9T1
Zotu55,12,4,10,34,3,7,8,2,5,9,5,11,4,3,6,7,2,7,19,11,18,0,16,2,6,20,34,5,4,5
Zotu22,461,163,82,641,229,84,177,66,115,131,171,143,110,55,143,22,56,100,143,108,62,28,97,17,154,90,152,218,131,93
Zotu590,69,29,0,1,0,0,2,16,0,0,15,22,11,0,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Zotu36,92,290,377,13,15,114,43,145,71,14,57,85,31,122,72,105,22,8,0,96,612,11,1,29,16,6,27,18,13,13
Zotu37,70,45,2,4,5,2,1,178,15,25,45,25,0,1,59,27,86,141,30,597,67,94,71,333,413,166,266,221,565,140
Zotu60,282,266,4,18,38,1,2,132,9,0,3,72,0,0,7,44,104,10,1,1,9,3453,71,8,1,2,95,0,629,3
Zotu5,931,669,1679,453,286,450,285,317,536,94,878,595,840,1228,715,2524,1001,447,15,937,441,455,71,2660,301,374,143,444,170,100
Zotu34,234,161,106,161,74,202,134,137,72,795,94,216,83,207,235,90,67,280,446,151,313,36,161,235,264,523,233,178,176,549
Zotu16,130,31,1,1,1,0,2,0,16,2,0,705,7,0,52,0,359,977,4,0,44,1,2,153,1,3,3,2,23,14
Zotu21,132,96,132,132,180,115,146,50,74,104,50,85,67,150,134,110,114,137,69,82,107,79,96,79,191,105,137,148,125,136
Zotu271,36,27,20,23,28,87,210,41,95,20,36,30,14,4,59,1,1,0,0,0,0,0,0,2,0,1,1,1,0,1
Zotu504,6,4,26,3,5,13,0,1,5,1,0,7,5,13,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0
Zotu225,24,1,0,1,0,0,1,1,0,3,1,1,0,6,8,19,6,59,4,3,2,8,9,16,7,4,6,2,8,9
Zotu122,5,1,0,0,3,7,8,2,6,1,0,0,0,0,2,3,9,0,0,1,0,374,2,0,13,0,0,6,23,0
Zotu338,20,15,1,23,6,13,12,11,10,80,1,13,11,12,15,19,12,18,13,14,17,4,10,9,23,19,9,11,7,30
Zotu8,5,1,2,0,1,0,0,0,12,0,0,8,1,4,0,0,1,1,12,7,1,86,0,1,0,8,3,0,10,1
Zotu56,50,61,52,49,117,50,69,38,29,119,12,50,41,145,83,26,58,36,163,28,158,46,205,142,108,295,172,32,57,419
Zotu26,311,411,246,185,135,339,594,480,216,224,193,268,179,119,286,254,49,670,131,805,383,349,70,146,510,162,80,854,126,178
Zotu31,303,20,33,44,146,385,1,5,60,7,107,8,267,79,37,12,1006,893,11,19,39,0,2,394,71,1,0,2494,484,29
Zotu73,83,62,0,8,50,256,31,144,36,123,8,43,55,122,96,182,55,45,6,14,35,5,38,126,10,13,1,101,76,2
Zotu7,746,784,479,386,916,394,560,300,178,407,146,654,145,270,700,274,341,108,142,38,469,29,528,29,125,689,305,63,467,201
Zotu145,37,17,22,6,28,187,5,17,34,33,13,16,7,23,69,2,2,7,1,1,4,7,9,2,16,1,2,0,10,3
Zotu90,339,65,1,217,114,869,251,936,510,757,661,186,770,170,542,574,391,313,0,64,136,37,9,72,21,2,60,170,17,3
Zotu830,12,0,0,0,0,13,0,7,4,2,2,8,4,4,2,15,29,23,0,4,1,0,0,19,1,0,0,75,16,0
Zotu71,118,9,29,72,103,162,47,18,30,126,14,16,47,105,85,33,3,21,167,81,439,20,327,53,112,689,388,99,31,224
Zotu15,156,100,198,78,127,162,105,85,157,131,65,117,98,153,146,287,104,195,465,234,200,223,380,231,289,308,338,389,427,878
Zotu62,24,21,38,7,8,67,52,157,221,10,6,50,17,130,185,10,26,1,1,9,0,1,0,0,1,1,0,0,0,0
Zotu185,18,5,6,1,21,2,4,1,2,28,0,7,0,21,10,8,14,4,115,15,47,16,188,86,44,75,51,16,18,72
Zotu115,15,58,10,1,5,22,14,6,4,4,3,51,12,9,27,14,171,3,1,10,202,6,0,3,29,0,13,12,7,14
Zotu29,185,125,72,164,525,122,125,67,83,314,27,130,48,215,206,96,87,162,426,120,480,47,345,313,135,878,764,121,252,677
Zotu744,25,15,4,6,7,6,4,4,7,7,4,34,10,3,12,2,14,21,41,5,14,5,13,12,24,26,32,21,9,27
Zotu787,11,4,1,4,7,4,4,1,5,3,2,3,4,7,12,2,0,5,1,3,4,4,1,3,4,0,0,9,2,0
Zotu13,431,403,427,720,1863,413,313,152,660,589,493,360,422,383,290,141,183,841,679,611,564,227,674,296,1358,708,758,815,1094,620
Zotu44,114,282,74,150,348,45,73,36,107,221,225,84,108,52,53,16,19,58,56,92,122,59,116,40,124,185,145,81,196,83
Zotu218,12,17,5,40,10,28,15,38,11,22,22,38,17,30,33,15,6,1,2,0,10,0,1,5,9,1,7,1,5,0
Zotu838,8,0,0,0,0,0,0,0,0,0,17,0,0,0,5,0,15,11,0,1,0,0,0,6,4,0,0,5,0,0
Zotu351,23,40,19,15,10,8,44,14,9,53,4,17,20,16,46,8,2,11,14,3,11,4,14,12,20,20,19,6,6,13
Zotu640,17,1,0,0,1,1,1,1,2,0,0,3,1,4,0,4,1,0,1,1,2,6,15,0,1,1,7,0,2,2
Zotu2,157,1265,1944,2585,1341,883,2177,946,1439,1297,1999,696,1738,1304,834,533,697,672,1836,286,708,370,1392,733,1149,633,1236,212,394,1515
Zotu108,217,220,0,2,0,312,7,80,133,0,7,0,1,35,13,0,9,4,0,1,0,0,0,1,6,0,0,3,0,1
Zotu4,118,711,1236,1379,710,501,1301,563,917,831,1163,416,1033,904,515,355,1098,462,1291,197,416,272,921,586,804,431,817,106,203,857
Zotu149,25,9,3,19,0,0,18,3,0,14,6,3,1,9,17,4,10,6,4,4,14,0,7,2,10,35,10,4,2,4
Zotu17,87,51,265,125,231,119,109,49,51,110,38,56,56,98,141,34,29,126,16,52,53,16,24,28,139,41,22,99,46,48
Zotu915,49,11,4,2,1,8,0,2,39,45,2,27,2,12,12,23,8,13,6,80,0,11,1,8,1,0,36,39,12,1
Zotu510,20,10,0,0,3,20,3,3,5,1,5,0,49,0,4,4,11,0,2,0,2,0,0,1,0,0,4,1,2,2
Zotu280,68,2,0,0,0,48,0,1,0,0,1,0,0,0,0,0,4,7,4,0,0,147,1,0,0,2,0,0,5,0
Zotu72,22,23,11,5,3,99,14,54,9,11,28,20,42,10,38,17,1,7,0,3,2,0,0,0,6,0,1,13,7,0
Zotu450,23,4,9,4,3,1,6,0,19,0,0,6,5,1,1,0,0,0,1,2,2,1,4,1,1,2,2,0,0,11
Zotu162,141,7,0,0,16,0,0,30,9,21,2,38,0,1,1,12,6,0,2,7,0,18,1,0,0,1,61,1,0,0
Zotu152,21,13,0,0,0,0,0,3,12,18,0,18,16,17,22,1,2,1,0,22,1,0,0,1,0,0,0,2,1,0
Zotu43,130,142,82,53,94,311,76,352,169,258,65,106,126,105,236,129,19,42,0,33,141,19,10,18,30,8,12,39,48,7
Zotu493,10,10,3,8,5,6,3,4,2,6,0,16,0,3,17,4,10,1,0,0,7,1,2,0,0,4,7,0,7,1
Zotu18,92,70,32,42,79,130,298,97,77,125,48,121,100,273,109,85,192,542,148,630,471,140,112,535,421,154,177,596,551,422
Zotu131,14,11,0,1,2,3,7,557,245,4,2,54,1,5,1,0,3,0,0,0,0,1,1,0,10,0,0,2,0,0
Zotu285,7,4,7,2,5,1,2,0,0,1,1,4,8,0,1,4,5,7,8,4,2,5,2,0,2,5,10,7,4,1
Zotu95,45,6,0,0,19,8,11,30,25,0,113,145,52,72,137,866,24,4,0,393,1,0,0,46,0,0,9,0,393,1
Zotu94,43,60,57,23,14,58,124,34,62,58,48,47,72,18,73,15,20,27,4,4,14,7,6,2,32,2,9,18,7,0
Zotu220,44,23,14,7,3,17,58,45,3,67,5,17,38,1,60,5,2,6,0,0,0,0,0,0,3,0,1,0,0,0
Zotu46,93,36,70,35,73,55,71,96,44,31,23,55,31,81,163,60,70,46,8,13,55,20,33,51,124,26,43,72,57,31
Zotu96,28,2,0,8,2,4,1,310,48,0,487,1,13,1,28,0,45,0,1,0,1,1,0,0,1,1,2,1,0,0
Zotu851,4,0,0,0,0,0,0,2,1,0,0,7,0,0,7,3,0,40,1,0,0,23,0,1,1,1,17,1,6,1
Zotu84,63,270,5,0,3,24,0,75,3,1,0,212,85,12,32,27,12,4,0,939,58,162,1,10,14,2,9,5,2,0
