,sample,rotation
X101.10T1,X101.10T1,X101T1
X101.11T1,X101.11T1,X101T1
X101.12T1,X101.12T1,X101T1
X101.13T1,X101.13T1,X101T1
X101.14T1,X101.14T1,X101T1
X101.15T1,X101.15T1,X101T1
X101.1T1,X101.1T1,X101T1
X101.2T1,X101.2T1,X101T1
X101.3T1,X101.3T1,X101T1
X101.4T1,X101.4T1,X101T1
X101.5T1,X101.5T1,X101T1
X101.6T1,X101.6T1,X101T1
X101.7T1,X101.7T1,X101T1
X101.8T1,X101.8T1,X101T1
X101.9T1,X101.9T1,X101T1
X101C.10T1,X101C.10T1,X101CT1
X101C.11T1,X101C.11T1,X101CT1
X101C.12T1,X101C.12T1,X101CT1
X101C.13T1,X101C.13T1,X101CT1
X101C.14T1,X101C.14T1,X101CT1
X101C.15T1,X101C.15T1,X101CT1
X101C.1T1,X101C.1T1,X101CT1
X101C.2T1,X101C.2T1,X101CT1
X101C.3T1,X101C.3T1,X101CT1
X101C.4T1,X101C.4T1,X101CT1
X101C.5T1,X101C.5T1,X101CT1
X101C.6T1,X101C.6T1,X101CT1
X101C.7T1,X101C.7T1,X101CT1
X101C.8T1,X101C.8T1,X101CT1
X101C.9T1,X101C.9T1,X101CT1
C101.10T1,C101.10T1,C101T1
C101.11T1,C101.11T1,C101T1
C101.12T1,C101.12T1,C101T1
C101.13T1,C101.13T1,C101T1
C101.14T1,C101.14T1,C101T1
C101.15T1,C101.15T1,C101T1
C101.1T1,C101.1T1,C101T1
C101.2T1,C101.2T1,C101T1
C101.3T1,C101.3T1,C101T1
C101.4T1,C101.4T1,C101T1
C101.5T1,C101.5T1,C101T1
C101.6T1,C101.6T1,C101T1
C101.7T1,C101.7T1,C101T1
C101.8T1,C101.8T1,C101T1
C101.9T1,C101.9T1,C101T1
C.10T1,C.10T1,CT1
C.11T1,C.11T1,CT1
C.12T1,C.12T1,CT1
C.13T1,C.13T1,CT1
C.14T1,C.14T1,CT1
C.15T1,C.15T1,CT1
C.1T1,C.1T1,CT1
C.2T1,C.2T1,CT1
C.3T1,C.3T1,CT1
C.4T1,C.4T1,CT1
C.5T1,C.5T1,CT1
C.6T1,C.6T1,CT1
C.7T1,C.7T1,CT1
C.8T1,C.8T1,CT1
C.9T1,C.9T1,CT1
